id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,time_stamp
bitcoin,95667.0,1896104187147,0.04604,108786.0,67.81,96663.0,93435.0,19-02-2025 13:25:32
ethereum,2702.02,325674390332,0.99343,4878.26,0.432979,2724.63,2612.31,19-02-2025 13:25:32
ripple,2.55,147411794316,-1.01464,3.4,0.00268621,2.62,2.48,19-02-2025 13:25:32
tether,0.999627,141709416797,-0.01966,1.32,0.572521,0.999859,0.999351,19-02-2025 13:25:32
binancecoin,655.96,95591333218,0.81283,788.84,0.0398177,662.48,631.1,19-02-2025 13:25:32
solana,168.6,82299920393,0.53344,293.31,0.500801,170.86,161.66,19-02-2025 13:25:32
usd-coin,0.999806,56218875556,-0.0094,1.17,0.877647,0.999949,0.999792,19-02-2025 13:25:32
dogecoin,0.252726,37414969863,0.68298,0.731578,8.69e-05,0.255545,0.242909,19-02-2025 13:25:32
cardano,0.760671,27300187417,-3.05239,3.09,0.01925275,0.795305,0.736624,19-02-2025 13:25:32
staked-ether,2703.75,25440823021,1.1675,4829.57,482.9,2725.15,2605.51,19-02-2025 13:25:32
tron,0.243105,20930555926,1.77729,0.431288,0.00180434,0.243413,0.232494,19-02-2025 13:25:32
wrapped-bitcoin,95403.0,12334708315,-0.25432,108368.0,3139.17,96468.0,93325.0,19-02-2025 13:25:32
chainlink,17.91,11430810092,-1.67617,52.7,0.148183,18.31,17.34,19-02-2025 13:25:32
wrapped-steth,3228.22,10919162133,1.15303,7256.02,558.54,3243.34,3120.93,19-02-2025 13:25:32
stellar,0.330907,10138829277,1.22859,0.875563,0.00047612,0.332105,0.316655,19-02-2025 13:25:32
litecoin,134.11,10127140054,8.41754,410.26,1.15,134.36,121.12,19-02-2025 13:25:32
avalanche-2,23.62,9767865631,-1.75049,144.96,2.8,24.22,23.0,19-02-2025 13:25:32
sui,3.12,9649149106,0.4824,5.35,0.364846,3.16,2.93,19-02-2025 13:25:32
the-open-network,3.64,9078852205,-0.13181,8.25,0.519364,3.72,3.58,19-02-2025 13:25:32
leo-token,9.81,9061733567,0.56948,9.95,0.799859,9.82,9.56,19-02-2025 13:25:32
shiba-inu,1.533e-05,9036812581,0.3377,8.616e-05,5.6366e-11,1.551e-05,1.49e-05,19-02-2025 13:25:32
usds,1.0,8985035531,0.11286,1.057,0.948265,1.003,0.996789,19-02-2025 13:25:32
hedera-hashgraph,0.209861,8794812873,1.91296,0.569229,0.00986111,0.210708,0.195589,19-02-2025 13:25:32
weth,2701.64,8085778816,1.01996,4799.89,82.1,2724.67,2614.32,19-02-2025 13:25:32
hyperliquid,23.27,7766507290,-9.36172,34.96,3.81,25.94,22.35,19-02-2025 13:25:32
mantra-dao,7.68,7459423607,5.65247,7.9,0.01726188,7.67,7.15,19-02-2025 13:25:32
polkadot,4.79,7285316363,1.14213,54.98,2.7,4.82,4.58,19-02-2025 13:25:32
bitcoin-cash,318.87,6320878354,0.84262,3785.82,76.93,320.14,308.65,19-02-2025 13:25:32
ethena-usde,0.999293,6073238458,0.04007,1.032,0.929486,1.005,0.997301,19-02-2025 13:25:32
bitget-token,4.9,5882660831,-2.79003,8.45,0.0142795,5.12,4.52,19-02-2025 13:25:32
uniswap,9.58,5750731697,-0.27057,44.92,1.03,9.76,9.16,19-02-2025 13:25:32
wrapped-eeth,2863.23,5465960598,1.01267,4311.81,2231.18,2881.79,2769.47,19-02-2025 13:25:32
monero,235.84,4348676545,0.03508,542.33,0.216177,239.14,229.43,19-02-2025 13:25:32
pepe,9.38e-06,3944749443,-1.66481,2.803e-05,5.5142e-08,9.65e-06,8.98e-06,19-02-2025 13:25:32
whitebit,27.24,3924481831,0.12503,29.08,3.06,27.41,26.9,19-02-2025 13:25:32
aave,252.66,3809815931,-0.28649,661.69,26.02,259.61,242.4,19-02-2025 13:25:32
ondo-finance,1.19,3747368377,-0.39144,2.14,0.082171,1.22,1.13,19-02-2025 13:25:32
near,3.12,3699565057,-1.89416,20.44,0.526762,3.2,3.03,19-02-2025 13:25:32
aptos,6.14,3606461275,9.89395,19.92,3.08,6.21,5.37,19-02-2025 13:25:32
susds,1.04,3514977742,0.03865,1.088,0.961716,1.051,1.017,19-02-2025 13:25:32
mantle,1.04,3499287037,-2.37554,1.54,0.307978,1.13,1.022,19-02-2025 13:25:32
dai,0.999745,3471806467,0.01344,1.22,0.88196,1.001,0.999327,19-02-2025 13:25:32
official-trump,16.54,3301545843,0.00473,73.43,4.29,16.7,15.72,19-02-2025 13:25:32
internet-computer,6.84,3291255483,1.20387,700.65,2.87,6.9,6.57,19-02-2025 13:25:32
bittensor,392.18,3282349688,9.11393,757.6,30.83,396.09,354.73,19-02-2025 13:25:32
ethereum-classic,20.43,3079521815,1.63785,167.09,0.615038,20.49,19.59,19-02-2025 13:25:32
okb,49.69,2980849757,1.06494,73.8,0.580608,49.82,48.76,19-02-2025 13:25:32
gatechain-token,22.54,2844119058,-0.14014,25.94,0.25754,22.75,21.6,19-02-2025 13:25:32
tokenize-xchange,34.4,2756147660,2.18417,50.43,0.111255,34.5,33.38,19-02-2025 13:25:32
kaspa,0.105731,2707827243,3.0432,0.207411,0.00017105,0.105576,0.097925,19-02-2025 13:25:32
polygon-ecosystem-token,0.306234,2623687657,0.21581,1.29,0.269234,0.307556,0.292003,19-02-2025 13:25:32
vechain,0.03189137,2581343315,-0.21962,0.280991,0.00191713,0.03242691,0.03059238,19-02-2025 13:25:32
coinbase-wrapped-btc,95649.0,2528665473,-0.01178,108953.0,57439.0,96562.0,93365.0,19-02-2025 13:25:32
crypto-com-chain,0.084114,2296974711,-2.87458,0.965407,0.0121196,0.08703,0.082529,19-02-2025 13:25:32
algorand,0.258266,2182126650,-0.88712,3.56,0.087513,0.26572,0.245521,19-02-2025 13:25:32
render-token,4.19,2169196321,0.45139,13.53,0.03665669,4.22,3.98,19-02-2025 13:25:32
filecoin,3.27,2071124095,0.14227,236.84,2.64,3.32,3.14,19-02-2025 13:25:32
arbitrum,0.465955,2058738111,-0.11401,2.39,0.38247,0.474307,0.440681,19-02-2025 13:25:32
sonic-3,0.646537,2048828712,8.03701,1.029,0.359647,0.648537,0.567422,19-02-2025 13:25:32
cosmos,4.62,2015947126,-0.10802,44.45,1.16,4.67,4.46,19-02-2025 13:25:32
first-digital-usd,0.999775,2012140779,0.00799,1.15,0.940377,1.004,0.991949,19-02-2025 13:25:32
